companyid,time,Date,buyer,visitor,sales
134,60,00:00.0,61,132,327.5
135,60,00:00.0,61,136,339
136,20,00:00.0,61,156,189
137,45,00:00.0,62,143,317.7
138,45,00:00.0,62,137,318
139,45,00:00.0,62,138,308
140,20,00:00.0,65,162,222.4
141,60,00:00.0,84,135,390
143,45,00:00.0,77,120,250.4
144,45,00:00.0,79,149,335.4
145,60,00:00.0,74,170,470.2
146,45,00:00.0,79,126,270.8
147,60,00:00.0,70,136,400
148,60,00:00.0,68,146,361.9
149,30,00:00.0,77,127,185
149,30,00:00.0,77,127,185
150,60,00:00.0,79,150,409.4
151,60,00:00.0,81,134,343
152,60,00:00.0,83,1200,353.2
153,60,00:00.0,85,138,374
154,30,00:00.0,87,167,275.8
156,60,00:00.0,71,151,368.5
157,60,00:00.0,73,131,270.4
158,60,00:00.0,74,120,270.4
158,60,00:00.0,74,120,270.4
159,60,00:00.0,79,170,382.8
160,30,00:00.0,71,120,240.9
161,30,00:00.0,68,168,0.4
162,45,00:00.0,66,130,260.4
163,45,00:00.0,64,130,270
164,45,00:00.0,62,140,280.9
165,60,00:00.0,59,1300,290.8
166,60,00:00.0,57,145,300
167,60,00:00.0,60,145,310.2
168,75,00:00.0,72,169,320.4
169,75,00:00.0,59,150,330.4
